|TABLE_NAME|COLUMN_NAME                            |DATA_TYPE|COLUMN_TYPE |IS_NULLABLE|COLUMN_KEY|ORDINAL_POSITION|
|----------|---------------------------------------|---------|------------|-----------|----------|----------------|
|budgets   |grant_id                               |varchar  |varchar(255)|YES        |          |1               |
|budgets   |project_title                          |varchar  |varchar(255)|YES        |          |2               |
|budgets   |grant_number                           |varchar  |varchar(255)|YES        |          |3               |
|budgets   |core_project_number                    |varchar  |varchar(255)|YES        |          |4               |
|budgets   |funding_source                         |varchar  |varchar(255)|YES        |          |5               |
|budgets   |peer_review_type                       |varchar  |varchar(255)|YES        |          |6               |
|budgets   |grant_start_date                       |date     |date        |YES        |          |7               |
|budgets   |grant_end_date                         |date     |date        |YES        |          |8               |
|budgets   |grant_direct_cost                      |float    |float       |YES        |          |9               |
|budgets   |grant_indirect_cost                    |float    |float       |YES        |          |10              |
|budgets   |grant_total                            |int      |int         |YES        |          |11              |
|budgets   |prime_award_id                         |varchar  |varchar(255)|YES        |          |12              |
|budgets   |prime_agency_name                      |varchar  |varchar(255)|YES        |          |13              |
|budgets   |subcontract                            |int      |int         |YES        |          |14              |
|budgets   |multi_pi                               |float    |float       |YES        |          |15              |
|budgets   |multi_investigator                     |int      |int         |YES        |          |16              |
|budgets   |nce                                    |int      |int         |YES        |          |17              |
|budgets   |r01_like                               |int      |int         |YES        |          |18              |
|budgets   |project_link                           |varchar  |varchar(255)|YES        |          |19              |
|budgets   |allocation_of                          |varchar  |varchar(255)|YES        |          |20              |
|budgets   |budget_period_id                       |float    |float       |YES        |          |21              |
|budgets   |period_grant_number                    |varchar  |varchar(255)|YES        |          |22              |
|budgets   |period                                 |float    |float       |YES        |          |23              |
|budgets   |period_start_date                      |date     |date        |YES        |          |24              |
|budgets   |period_end_date                        |date     |date        |YES        |          |25              |
|budgets   |period_directs                         |float    |float       |YES        |          |26              |
|budgets   |period_indirect                        |float    |float       |YES        |          |27              |
|budgets   |period_total                           |int      |int         |YES        |          |28              |
|budgets   |ccsg_fund                              |int      |int         |YES        |          |29              |
|budgets   |linked_investigators                   |varchar  |varchar(255)|YES        |          |30              |
|budgets   |research_programs                     |varchar  |varchar(255)|YES        |          |31              |
|budgets   |cancer_relevance                       |float    |float       |YES        |          |32              |
|budgets   |justification                          |varchar  |varchar(255)|YES        |          |33              |
|budgets   |rlogx_uid                              |varchar  |varchar(255)|YES        |          |34              |
|budgets   |flagged_for_review                     |int      |int         |YES        |          |35              |
|budgets   |import_source                          |varchar  |varchar(255)|YES        |          |36              |
|budgets   |workspace_status                       |varchar  |varchar(255)|YES        |          |37              |
|budgets   |imported_pis                           |varchar  |varchar(255)|YES        |          |38              |
|budgets   |imported_pi_ids                        |varchar  |varchar(255)|YES        |          |39              |
|budgets   |last_updated                           |date     |date        |YES        |          |40              |
|funding   |project_status                          |varchar  |varchar(255)|YES        |          |1               |
|funding   |project_id                              |int      |int         |YES        |          |2               |
|funding   |project_uid                             |varchar  |varchar(255)|YES        |          |3               |
|funding   |fund_ws_id                               |int      |int         |YES        |          |4               |
|funding   |fiscal_year                             |float    |float       |YES        |          |5               |
|funding   |project_title                           |varchar  |varchar(255)|YES        |          |6               |
|funding   |grant_number                            |varchar  |varchar(255)|YES        |          |7               |
|funding   |fund_source                             |varchar  |varchar(255)|YES        |          |8               |
|funding   |project_begin                           |date     |date        |YES        |          |9               |
|funding   |project_end                             |date     |date        |YES        |          |10              |
|funding   |project_status_id                        |int      |int         |YES        |          |11              |
|funding   |project_summary                         |varchar  |varchar(255)|YES        |          |12              |
|funding   |master_fund                             |int      |int         |YES        |          |13              |
|funding   |allocation_of                           |float    |float       |YES        |          |14              |
|funding   |training_project                        |int      |int         |YES        |          |15              |
|funding   |indirect_cost                           |float    |float       |YES        |          |16              |
|funding   |direct_cost                             |float    |float       |YES        |          |17              |
|funding   |cancer_relevance_percentage              |float    |float       |YES        |          |18              |
|funding   |peer_review_type_id                       |int      |int         |YES        |          |19              |
|funding   |fund_review_status_id                     |int      |int         |YES        |          |20              |
|funding   |batch_id                                |varchar  |varchar(255)|YES        |          |21              |
|funding   |import_source                           |varchar  |varchar(255)|YES        |          |22              |
|funding   |import_file                             |varchar  |varchar(255)|YES        |          |23              |
|funding   |imported_pi                            |varchar  |varchar(255)|YES        |          |24              |
|funding   |imported_pi_id                          |varchar  |varchar(255)|YES        |          |25              |
|funding   |project_ts                              |varchar  |varchar(255)|YES        |          |26              |
|funding   |is_subcontract                          |int      |int         |YES        |          |27              |
|funding   |multi_pi                                |float    |float       |YES        |          |28              |
|funding   |multi_investigator                      |int      |int         |YES        |          |29              |
|funding   |no_cost_ext                              |int      |int         |YES        |          |30              |
|funding   |r01_like                               |int      |int         |YES        |          |31              |
|funding   |is_ccsg_fund                             |int      |int         |YES        |          |32              |
|funding   |prime_award_id                           |varchar  |varchar(255)|YES        |          |33              |
|funding   |prime_agency_name                        |varchar  |varchar(255)|YES        |          |34              |
|funding   |funding_ic                              |text     |text        |YES        |          |35              |
|funding   |restricted_funds                        |float    |float       |YES        |          |36              |
|funding   |internal_project_id                      |varchar  |varchar(255)|YES        |          |37              |
|funding   |project_sort                            |int      |int         |YES        |          |38              |
|funding   |copied_from                             |text     |text        |YES        |          |39              |
|funding   |inv_cancer_relevance_percentage          |text     |text        |YES        |          |40              |
|funding   |inv_justification                      |varchar  |varchar(255)|YES        |          |41              |
|funding   |inv_notes                              |varchar  |varchar(255)|YES        |          |42              |
|funding   |inv_verified_by                         |text     |text        |YES        |          |43              |
|funding   |inv_verified_ts                         |text     |text        |YES        |          |44              |
|funding   |orig_project_id                          |text     |text        |YES        |          |45              |
|funding   |is_core                                 |int      |int         |YES        |          |46              |
|funding   |flag_for_review                         |int      |int         |YES        |          |47              |
|funding   |core_project_num                         |varchar  |varchar(255)|YES        |          |48              |
|funding   |project_url                             |varchar  |varchar(255)|YES        |          |49              |
|funding   |is_supplement                           |float    |float       |YES        |          |50              |
|funding   |include_in_roi                           |int      |int         |YES        |          |51              |
|funding   |view_budget_begin                       |varchar  |varchar(255)|YES        |          |52              |
|funding   |view_budget_end                         |varchar  |varchar(255)|YES        |          |53              |
|funding   |unobligated_balance                     |float    |float       |YES        |          |54              |
|funding   |fund_code                               |text     |text        |YES        |          |55              |
|funding   |grant_type                              |varchar  |varchar(255)|YES        |          |56              |
|funding   |grant_activity                          |text     |text        |YES        |          |57              |
|funding   |is_clinical_trial                        |float    |float       |YES        |          |58              |
|funding   |grant_purpose                           |text     |text        |YES        |          |59              |
|funding   |public_health_relevance                  |varchar  |varchar(255)|YES        |          |60              |
|funding   |modified_date                           |varchar  |varchar(255)|YES        |          |61              |
|funding   |modified_by                             |float    |float       |YES        |          |62              |
|funding   |peer_review_type                         |varchar  |varchar(255)|YES        |          |63              |
|funding   |investigators                          |varchar  |varchar(255)|YES        |          |64              |
|funding   |investigators_principal                |varchar  |varchar(255)|YES        |          |65              |
|funding   |member_types                            |varchar  |varchar(255)|YES        |          |66              |
|funding   |total_allocs                            |float    |float       |YES        |          |67              |
